"内容","释义/翻译","标签","来源书籍","作者","页码","来源"
"détacher","Larousse：v.t. 1. Enlever une tache (détacher un vêtement). 2. Séparer ce qui était attaché, fixé (détacher une page d'un cahier). 3. Envoyer en mission, en détachement (détacher un officier).","Vocabulary","Les nourritures terrestres","André Gide","","Vocabulary 词汇"
"pour ainsi dire","Larousse：Locution adverbiale. S'emploie pour présenter une expression comme approximative ou imagée : 'en quelque sorte', 'pour ainsi parler'.","Vocabulary","Les nourritures terrestres","André Gide","","Vocabulary 词汇"
"peignais","Larousse：v. tr. — Imparfait de l'indicatif, 1re et 2e personnes du singulier de peigner. Peigner : coiffer, démêler les cheveux à l'aide d'un peigne ; carder (textile) ; au sens familier, battre, rosser (peigner quelqu'un).","Vocabulary","Les nourritures terrestres","André Gide","","Vocabulary 词汇"
"flottant","Larousse：adj. Qui flotte, qui se soutient sur un liquide ou dans l'air ; qui n'est pas fixe, qui est mobile, incertain.","Vocabulary","Les nourritures terrestres","André Gide","","Vocabulary 词汇"
"prétendais","Larousse：verbe transitif : 1. Affirmer, soutenir (quelque chose) sans preuve ou à tort. 2. Vouloir, exiger (quelque chose) ; avoir l'intention de.","Vocabulary","Les nourritures terrestres","André Gide","","Vocabulary 词汇"
"démenti","Larousse：n.m. Déclaration par laquelle on conteste la véracité d'un fait, d'une nouvelle ; réfutation.","Vocabulary","Les nourritures terrestres","André Gide","","Vocabulary 词汇"
"revendiquait aussitôt d’autant plus","Larousse：revendiquer (v. tr.) : Demander la restitution de quelque chose, réclamer un droit ; assumer la responsabilité d'un acte. — aussitôt (adv.) : Sans délai, immédiatement. — d’autant plus (loc. adv.) : Indique une augmentation proportionnelle, renforce une affirmation.","Vocabulary","Les nourritures terrestres","André Gide","","Vocabulary 词汇"
"aliénais","Larousse：aliéner (v.t.) : première personne du singulier de l'imparfait de l'indicatif. 1. Transférer la propriété d'un bien à quelqu'un. 2. Priver quelqu'un de sa liberté, de sa volonté, de ses droits.","Vocabulary","Les nourritures terrestres","André Gide","","Vocabulary 词汇"
"excès","Larousse：n.m. 1. Ce qui dépasse la mesure, la quantité normale ou raisonnable ; surplus, excédent. 2. Manque de modération, de retenue ; abus, démesure. 3. (Au pluriel) Actes de violence, de brutalité ; excès de pouvoir.","Vocabulary","Les nourritures terrestres","André Gide","","Vocabulary 词汇"
"convalescent","Larousse：adj. et n. (bas latin convalescens, de convalescere, se rétablir) Qui est en convalescence, qui se rétablit après une maladie.","Vocabulary","Les nourritures terrestres","André Gide","","Vocabulary 词汇"
"délivrance","Larousse：n.f. 1. Action de délivrer, de remettre quelque chose à quelqu'un. 2. Fait d'être délivré, libéré ; soulagement qui en résulte.","Vocabulary","Les nourritures terrestres","André Gide","","Vocabulary 词汇"
"évasion","Larousse：n.f. Action de s'évader ; fait de s'échapper d'une prison, d'un lieu de détention. Par extension : moyen d'échapper aux contraintes, aux soucis.","Vocabulary","Les nourritures terrestres","André Gide","","Vocabulary 词汇"
"proviser","Larousse：n.m. — (Surtout au Canada) Directeur, proviseur d'un collège ou d'un lycée.","Vocabulary","Madame Bovary","Gustave Flaubert","p. 1–3","Vocabulary 词汇"
