"内容","释义/翻译","标签","来源书籍","作者","页码","来源"
"détacher","Le Robert：v.t. 1. Ôter une tache de (un tissu, une surface). 2. Détacher qqn de qqch : éloigner, séparer (une personne d'un lieu, d'une fonction). 3. Détacher qqch de qqch : séparer ce qui était attaché, fixé.；Larousse：v.t. 1. Enlever une tache (détacher un vêtement). 2. Séparer ce qui était attaché, fixé (détacher une page d'un cahier). 3. Envoyer en mission, en détachement (détacher un officier).；CNRTL：v.t. 1. Séparer (ce qui était attaché, fixé) ; défaire ce qui retient. 2. Ôter les taches. 3. Au fig. : éloigner, distraire (détacher l'esprit de quelque chose). 4. Envoyer en mission (détacher du personnel).","Vocabulary","Les nourritures terrestres","André Gide","","Vocabulary 词汇"
"pour ainsi dire","Le Robert：Locution adverbiale. S'emploie pour atténuer une expression, pour indiquer qu'on parle par métaphore ou approximation : 'pour ainsi parler', 'si l'on peut dire'.；Larousse：Locution adverbiale. S'emploie pour présenter une expression comme approximative ou imagée : 'en quelque sorte', 'pour ainsi parler'.；CNRTL：Locution adverbiale. 'Pour ainsi dire' signifie 'en quelque sorte', 'si l'on peut s'exprimer ainsi'. Elle sert à introduire une métaphore ou une hyperbole, en signalant que le mot employé n'est pas exact mais expressif.","Vocabulary","Les nourritures terrestres","André Gide","","Vocabulary 词汇"
"peignais","Le Robert：v. tr. — Première et deuxième personnes du singulier de l'imparfait de l'indicatif du verbe peigner. Peigner : démêler, coiffer les cheveux avec un peigne ; au figuré, carder (la laine, le chanvre) avec un peigne ou une machine.；Larousse：v. tr. — Imparfait de l'indicatif, 1re et 2e personnes du singulier de peigner. Peigner : coiffer, démêler les cheveux à l'aide d'un peigne ; carder (textile) ; au sens familier, battre, rosser (peigner quelqu'un).；CNRTL：v. tr. — Forme conjuguée de peigner à l'imparfait de l'indicatif (je peignais, tu peignais). Peigner : action de passer un peigne dans les cheveux pour les démêler, les coiffer ; par extension, carder des fibres textiles ; en emploi pronominal, se peigner = se coiffer.","Vocabulary","Les nourritures terrestres","André Gide","","Vocabulary 词汇"
"flottant","Le Robert：adj. Qui flotte, se maintient à la surface d'un liquide ou dans l'air ; qui n'est pas fixé, qui est mobile, instable.；Larousse：adj. Qui flotte, qui se soutient sur un liquide ou dans l'air ; qui n'est pas fixe, qui est mobile, incertain.；CNRTL：adj. Qui se soutient sur un liquide ou dans l'air sans enfoncer ; qui n'est pas fixé, qui est mobile, oscillant ; au figuré, qui est indécis, variable.","Vocabulary","Les nourritures terrestres","André Gide","","Vocabulary 词汇"
"prétendais","Le Robert：verbe transitif (prétendre) : 1. Affirmer (quelque chose) sans preuve, ou contre la vérité. 2. Avoir la prétention de, vouloir faire quelque chose.；Larousse：verbe transitif : 1. Affirmer, soutenir (quelque chose) sans preuve ou à tort. 2. Vouloir, exiger (quelque chose) ; avoir l'intention de.；CNRTL：verbe transitif : 1. Affirmer, déclarer (quelque chose) avec assurance, souvent sans preuve. 2. Aspirer à, avoir l'ambition de ; revendiquer (un droit, une qualité).","Vocabulary","Les nourritures terrestres","André Gide","","Vocabulary 词汇"
"démenti","Le Robert：n.m. Action de démentir ; déclaration par laquelle on affirme qu'un fait, une nouvelle est faux.；Larousse：n.m. Déclaration par laquelle on conteste la véracité d'un fait, d'une nouvelle ; réfutation.；CNRTL：n.m. Action de démentir ; résultat de cette action. Spécialement, déclaration officielle ou publique qui contredit une information, une rumeur.","Vocabulary","Les nourritures terrestres","André Gide","","Vocabulary 词汇"
"revendiquait aussitôt d’autant plus","Le Robert：revendiquer (v. tr.) : Réclamer comme un droit ce à quoi on estime avoir droit ; se déclarer l'auteur de (une action, une œuvre). — aussitôt (adv.) : Dans le moment même, immédiatement après. — d’autant plus (loc. adv.) : Marque une proportionnalité, une gradation ; signifie 'dans une mesure encore plus grande'.；Larousse：revendiquer (v. tr.) : Demander la restitution de quelque chose, réclamer un droit ; assumer la responsabilité d'un acte. — aussitôt (adv.) : Sans délai, immédiatement. — d’autant plus (loc. adv.) : Indique une augmentation proportionnelle, renforce une affirmation.；CNRTL：revendiquer (v. tr.) : Réclamer ce qui est dû, ce à quoi on a droit ; se déclarer l'auteur de quelque chose. — aussitôt (adv.) : Dès ce moment, sans intervalle. — d’autant plus (loc. adv.) : S'emploie pour marquer une gradation, une augmentation en raison de quelque chose.","Vocabulary","Les nourritures terrestres","André Gide","","Vocabulary 词汇"
"aliénais","Le Robert：aliéner (v.t.) : première personne du singulier de l'imparfait de l'indicatif. Transférer à autrui la propriété d'un bien, ou priver quelqu'un de sa liberté, de ses facultés.；Larousse：aliéner (v.t.) : première personne du singulier de l'imparfait de l'indicatif. 1. Transférer la propriété d'un bien à quelqu'un. 2. Priver quelqu'un de sa liberté, de sa volonté, de ses droits.；CNRTL：aliéner (v.t.) : première personne du singulier de l'imparfait de l'indicatif. 1. Faire passer un bien, un droit à un autre propriétaire. 2. Priver quelqu'un de sa liberté, de sa personnalité, de ses facultés intellectuelles ou morales.","Vocabulary","Les nourritures terrestres","André Gide","","Vocabulary 词汇"
"excès","Le Robert：n.m. 1. Ce qui dépasse une mesure, une norme, une limite ; quantité qui va au-delà de ce qui est permis, raisonnable ou nécessaire. 2. Action, comportement qui outrepasse la modération, la justice ou la bienséance ; abus. 3. (Au pluriel) Violences, actes de brutalité.；Larousse：n.m. 1. Ce qui dépasse la mesure, la quantité normale ou raisonnable ; surplus, excédent. 2. Manque de modération, de retenue ; abus, démesure. 3. (Au pluriel) Actes de violence, de brutalité ; excès de pouvoir.；CNRTL：n.m. A. Ce qui dépasse une limite, une mesure ; quantité qui excède la norme. B. Comportement qui outrepasse les bornes de la raison, de la morale, de la loi ; dérèglement, abus. C. (Au pluriel) Actes de violence, sévices, outrages.","Vocabulary","Les nourritures terrestres","André Gide","","Vocabulary 词汇"
"convalescent","Le Robert：adj. et n. (XVIe siècle) Qui se remet d'une maladie, qui est en convalescence. Ex. : un convalescent a besoin de repos.；Larousse：adj. et n. (bas latin convalescens, de convalescere, se rétablir) Qui est en convalescence, qui se rétablit après une maladie.；CNRTL：Adj. et subst. (Emprunté au latin convalescens, participe présent de convalescere « se rétablir »). Qui est en voie de guérison, qui recouvre progressivement ses forces après une maladie. Par extension, se dit de ce qui se rétablit, se redresse (ex. : une économie convalescente).","Vocabulary","Les nourritures terrestres","André Gide","","Vocabulary 词汇"
